,Service Name,Transport Protocol,Description
24850,assoc-disc,"tcp, udp",Device Association Discovery
24922,find,"tcp, udp",Find Identification of Network Devices
25000,icl-twobase1,"tcp, udp",icl-twobase1
25001,icl-twobase2,"tcp, udp",icl-twobase2
25002,icl-twobase3,"tcp, udp",icl-twobase3
25003,icl-twobase4,"tcp, udp",icl-twobase4
25004,icl-twobase5,"tcp, udp",icl-twobase5
25005,icl-twobase6,"tcp, udp",icl-twobase6
25006,icl-twobase7,"tcp, udp",icl-twobase7
25007,icl-twobase8,"tcp, udp",icl-twobase8
25008,icl-twobase9,"tcp, udp",icl-twobase9
25009,icl-twobase10,"tcp, udp",icl-twobase10
25100,db2c-tls,"tcp, udp",IBM Db2 Client Interface - Encrypted
25471,rna,sctp,RNSAP User Adaptation for Iurh
25576,sauterdongle,"tcp, udp",Sauter Dongle
25604,idtp,"tcp, udp",Identifier Tracing Protocol
25793,vocaltec-hos,"tcp, udp",Vocaltec Address Server
25900,tasp-net,"tcp, udp",TASP Network Comm
25901,niobserver,"tcp, udp",NIObserver
25902,nilinkanalyst,"tcp, udp",NILinkAnalyst
25903,niprobe,"tcp, udp",NIProbe
25954,bf-game,"tcp, udp",Bitfighter game server
25955,bf-master,"tcp, udp",Bitfighter master server
26000,quake,"tcp, udp",quake
26133,scscp,"tcp, udp",Symbolic Computation Software Composability Protocol
26208,wnn6-ds,"tcp, udp",wnn6-ds
26257,cockroach,"tcp, udp",CockroachDB
26260,ezproxy,"tcp, udp",eZproxy
26261,ezmeeting,"tcp, udp",eZmeeting
26262,k3software-svr,"tcp, udp",K3 Software-Server
26263,k3software-cli,"tcp, udp",K3 Software-Client
26486,"exoline-tcp, exoline-udp","tcp, udp","EXOline-UDP, EXOline-TCP"
26487,exoconfig,"tcp, udp",EXOconfig
26489,exonet,"tcp, udp",EXOnet
27000,flex-lm,,FLEX LM (1-10)
27001,flex-lm,,FLEX LM (1-10)
27002,flex-lm,,FLEX LM (1-10)
27003,flex-lm,,FLEX LM (1-10)
27004,flex-lm,,FLEX LM (1-10)
27005,flex-lm,,FLEX LM (1-10)
27006,flex-lm,,FLEX LM (1-10)
27007,flex-lm,,FLEX LM (1-10)
27008,flex-lm,,FLEX LM (1-10)
27009,flex-lm,,FLEX LM (1-10)
27010,flex-lmadmin,"tcp, udp",A protocol for managing license services
27016,chlenix,"tcp, udp",Cloud hosting environment network
27017,mongodb,"tcp, udp",Mongo database system
27018,nan,,Unassigned
27019,nan,,Unassigned
27020,nan,,Unassigned
27021,nan,,Unassigned
27022,nan,,Unassigned
27023,nan,,Unassigned
27024,nan,,Unassigned
27025,nan,,Unassigned
27026,nan,,Unassigned
27027,nan,,Unassigned
27028,nan,,Unassigned
27029,nan,,Unassigned
27030,nan,,Unassigned
27031,nan,,Unassigned
27032,nan,,Unassigned
27033,nan,,Unassigned
27034,nan,,Unassigned
27035,nan,,Unassigned
27036,nan,,Unassigned
27037,nan,,Unassigned
27038,nan,,Unassigned
27039,nan,,Unassigned
27040,nan,,Unassigned
27041,nan,,Unassigned
27042,nan,,Unassigned
27043,nan,,Unassigned
27044,nan,,Unassigned
27045,nan,,Unassigned
27046,nan,,Unassigned
27047,nan,,Unassigned
27048,nan,,Unassigned
27049,nan,,Unassigned
27050,nan,,Unassigned
27051,nan,,Unassigned
27052,nan,,Unassigned
27053,nan,,Unassigned
27054,nan,,Unassigned
27055,nan,,Unassigned
27056,nan,,Unassigned
27057,nan,,Unassigned
27058,nan,,Unassigned
27059,nan,,Unassigned
27060,nan,,Unassigned
27061,nan,,Unassigned
27062,nan,,Unassigned
27063,nan,,Unassigned
27064,nan,,Unassigned
27065,nan,,Unassigned
27066,nan,,Unassigned
27067,nan,,Unassigned
27068,nan,,Unassigned
27069,nan,,Unassigned
27070,nan,,Unassigned
27071,nan,,Unassigned
27072,nan,,Unassigned
27073,nan,,Unassigned
27074,nan,,Unassigned
27075,nan,,Unassigned
27076,nan,,Unassigned
27077,nan,,Unassigned
27078,nan,,Unassigned
27079,nan,,Unassigned
27080,nan,,Unassigned
27081,nan,,Unassigned
27082,nan,,Unassigned
27083,nan,,Unassigned
27084,nan,,Unassigned
27085,nan,,Unassigned
27086,nan,,Unassigned
27087,nan,,Unassigned
27088,nan,,Unassigned
27089,nan,,Unassigned
27090,nan,,Unassigned
27091,nan,,Unassigned
27092,nan,,Unassigned
27093,nan,,Unassigned
27094,nan,,Unassigned
27095,nan,,Unassigned
27096,nan,,Unassigned
27097,nan,,Unassigned
27098,nan,,Unassigned
27099,nan,,Unassigned
27100,nan,,Unassigned
27101,nan,,Unassigned
27102,nan,,Unassigned
27103,nan,,Unassigned
27104,nan,,Unassigned
27105,nan,,Unassigned
27106,nan,,Unassigned
27107,nan,,Unassigned
27108,nan,,Unassigned
27109,nan,,Unassigned
27110,nan,,Unassigned
27111,nan,,Unassigned
27112,nan,,Unassigned
27113,nan,,Unassigned
27114,nan,,Unassigned
27115,nan,,Unassigned
27116,nan,,Unassigned
27117,nan,,Unassigned
27118,nan,,Unassigned
27119,nan,,Unassigned
27120,nan,,Unassigned
27121,nan,,Unassigned
27122,nan,,Unassigned
27123,nan,,Unassigned
27124,nan,,Unassigned
27125,nan,,Unassigned
27126,nan,,Unassigned
27127,nan,,Unassigned
27128,nan,,Unassigned
27129,nan,,Unassigned
27130,nan,,Unassigned
27131,nan,,Unassigned
27132,nan,,Unassigned
27133,nan,,Unassigned
27134,nan,,Unassigned
27135,nan,,Unassigned
27136,nan,,Unassigned
27137,nan,,Unassigned
27138,nan,,Unassigned
27139,nan,,Unassigned
27140,nan,,Unassigned
27141,nan,,Unassigned
27142,nan,,Unassigned
27143,nan,,Unassigned
27144,nan,,Unassigned
27145,nan,,Unassigned
27146,nan,,Unassigned
27147,nan,,Unassigned
27148,nan,,Unassigned
27149,nan,,Unassigned
27150,nan,,Unassigned
27151,nan,,Unassigned
27152,nan,,Unassigned
27153,nan,,Unassigned
27154,nan,,Unassigned
27155,nan,,Unassigned
27156,nan,,Unassigned
27157,nan,,Unassigned
27158,nan,,Unassigned
27159,nan,,Unassigned
27160,nan,,Unassigned
27161,nan,,Unassigned
27162,nan,,Unassigned
27163,nan,,Unassigned
27164,nan,,Unassigned
27165,nan,,Unassigned
27166,nan,,Unassigned
27167,nan,,Unassigned
27168,nan,,Unassigned
27169,nan,,Unassigned
27170,nan,,Unassigned
27171,nan,,Unassigned
27172,nan,,Unassigned
27173,nan,,Unassigned
27174,nan,,Unassigned
27175,nan,,Unassigned
27176,nan,,Unassigned
27177,nan,,Unassigned
27178,nan,,Unassigned
27179,nan,,Unassigned
27180,nan,,Unassigned
27181,nan,,Unassigned
27182,nan,,Unassigned
27183,nan,,Unassigned
27184,nan,,Unassigned
27185,nan,,Unassigned
27186,nan,,Unassigned
27187,nan,,Unassigned
27188,nan,,Unassigned
27189,nan,,Unassigned
27190,nan,,Unassigned
27191,nan,,Unassigned
27192,nan,,Unassigned
27193,nan,,Unassigned
27194,nan,,Unassigned
27195,nan,,Unassigned
27196,nan,,Unassigned
27197,nan,,Unassigned
27198,nan,,Unassigned
27199,nan,,Unassigned
27200,nan,,Unassigned
27201,nan,,Unassigned
27202,nan,,Unassigned
27203,nan,,Unassigned
27204,nan,,Unassigned
27205,nan,,Unassigned
27206,nan,,Unassigned
27207,nan,,Unassigned
27208,nan,,Unassigned
27209,nan,,Unassigned
27210,nan,,Unassigned
27211,nan,,Unassigned
27212,nan,,Unassigned
27213,nan,,Unassigned
27214,nan,,Unassigned
27215,nan,,Unassigned
27216,nan,,Unassigned
27217,nan,,Unassigned
27218,nan,,Unassigned
27219,nan,,Unassigned
27220,nan,,Unassigned
27221,nan,,Unassigned
27222,nan,,Unassigned
27223,nan,,Unassigned
27224,nan,,Unassigned
27225,nan,,Unassigned
27226,nan,,Unassigned
27227,nan,,Unassigned
27228,nan,,Unassigned
27229,nan,,Unassigned
27230,nan,,Unassigned
27231,nan,,Unassigned
27232,nan,,Unassigned
27233,nan,,Unassigned
27234,nan,,Unassigned
27235,nan,,Unassigned
27236,nan,,Unassigned
27237,nan,,Unassigned
27238,nan,,Unassigned
27239,nan,,Unassigned
27240,nan,,Unassigned
27241,nan,,Unassigned
27242,nan,,Unassigned
27243,nan,,Unassigned
27244,nan,,Unassigned
27245,nan,,Unassigned
27246,nan,,Unassigned
27247,nan,,Unassigned
27248,nan,,Unassigned
27249,nan,,Unassigned
27250,nan,,Unassigned
27251,nan,,Unassigned
27252,nan,,Unassigned
27253,nan,,Unassigned
27254,nan,,Unassigned
27255,nan,,Unassigned
27256,nan,,Unassigned
27257,nan,,Unassigned
27258,nan,,Unassigned
27259,nan,,Unassigned
27260,nan,,Unassigned
27261,nan,,Unassigned
27262,nan,,Unassigned
27263,nan,,Unassigned
27264,nan,,Unassigned
27265,nan,,Unassigned
27266,nan,,Unassigned
27267,nan,,Unassigned
27268,nan,,Unassigned
27269,nan,,Unassigned
27270,nan,,Unassigned
27271,nan,,Unassigned
27272,nan,,Unassigned
27273,nan,,Unassigned
27274,nan,,Unassigned
27275,nan,,Unassigned
27276,nan,,Unassigned
27277,nan,,Unassigned
27278,nan,,Unassigned
27279,nan,,Unassigned
27280,nan,,Unassigned
27281,nan,,Unassigned
27282,nan,,Unassigned
27283,nan,,Unassigned
27284,nan,,Unassigned
27285,nan,,Unassigned
27286,nan,,Unassigned
27287,nan,,Unassigned
27288,nan,,Unassigned
27289,nan,,Unassigned
27290,nan,,Unassigned
27291,nan,,Unassigned
27292,nan,,Unassigned
27293,nan,,Unassigned
27294,nan,,Unassigned
27295,nan,,Unassigned
27296,nan,,Unassigned
27297,nan,,Unassigned
27298,nan,,Unassigned
27299,nan,,Unassigned
27300,nan,,Unassigned
27301,nan,,Unassigned
27302,nan,,Unassigned
27303,nan,,Unassigned
27304,nan,,Unassigned
27305,nan,,Unassigned
27306,nan,,Unassigned
27307,nan,,Unassigned
27308,nan,,Unassigned
27309,nan,,Unassigned
27310,nan,,Unassigned
27311,nan,,Unassigned
27312,nan,,Unassigned
27313,nan,,Unassigned
27314,nan,,Unassigned
27315,nan,,Unassigned
27316,nan,,Unassigned
27317,nan,,Unassigned
27318,nan,,Unassigned
27319,nan,,Unassigned
27320,nan,,Unassigned
27321,nan,,Unassigned
27322,nan,,Unassigned
27323,nan,,Unassigned
27324,nan,,Unassigned
27325,nan,,Unassigned
27326,nan,,Unassigned
27327,nan,,Unassigned
27328,nan,,Unassigned
27329,nan,,Unassigned
27330,nan,,Unassigned
27331,nan,,Unassigned
27332,nan,,Unassigned
27333,nan,,Unassigned
27334,nan,,Unassigned
27335,nan,,Unassigned
27336,nan,,Unassigned
27337,nan,,Unassigned
27338,nan,,Unassigned
27339,nan,,Unassigned
27340,nan,,Unassigned
27341,nan,,Unassigned
27342,nan,,Unassigned
27343,nan,,Unassigned
27344,nan,,Unassigned
27345,imagepump,"tcp, udp",ImagePump
27442,jesmsjc,"tcp, udp",Job controller service
27504,kopek-httphead,"tcp, udp",Kopek HTTP Head Port
27782,ars-vista,"tcp, udp",ARS VISTA Application
27876,astrolink,"tcp, udp",Astrolink Protocol
27999,tw-auth-key,"tcp, udp","Attribute Certificate Services, TW Authentication/Key Distribution and"
28000,nxlmd,"tcp, udp",NX License Manager
28001,pqsp,"tcp, udp",PQ Service
28010,gruber-cashreg,"tcp, udp",Gruber cash registry protocol
28011,nan,,Unassigned
28012,nan,,Unassigned
28013,nan,,Unassigned
28014,nan,,Unassigned
28015,nan,,Unassigned
28016,nan,,Unassigned
28017,nan,,Unassigned
28018,nan,,Unassigned
28019,nan,,Unassigned
28020,nan,,Unassigned
28021,nan,,Unassigned
28022,nan,,Unassigned
28023,nan,,Unassigned
28024,nan,,Unassigned
28025,nan,,Unassigned
28026,nan,,Unassigned
28027,nan,,Unassigned
28028,nan,,Unassigned
28029,nan,,Unassigned
28030,nan,,Unassigned
28031,nan,,Unassigned
28032,nan,,Unassigned
28033,nan,,Unassigned
28034,nan,,Unassigned
28035,nan,,Unassigned
28036,nan,,Unassigned
28037,nan,,Unassigned
28038,nan,,Unassigned
28039,nan,,Unassigned
28040,nan,,Unassigned
28041,nan,,Unassigned
28042,nan,,Unassigned
28043,nan,,Unassigned
28044,nan,,Unassigned
28045,nan,,Unassigned
28046,nan,,Unassigned
28047,nan,,Unassigned
28048,nan,,Unassigned
28049,nan,,Unassigned
28050,nan,,Unassigned
28051,nan,,Unassigned
28052,nan,,Unassigned
28053,nan,,Unassigned
28054,nan,,Unassigned
28055,nan,,Unassigned
28056,nan,,Unassigned
28057,nan,,Unassigned
28058,nan,,Unassigned
28059,nan,,Unassigned
28060,nan,,Unassigned
28061,nan,,Unassigned
28062,nan,,Unassigned
28063,nan,,Unassigned
28064,nan,,Unassigned
28065,nan,,Unassigned
28066,nan,,Unassigned
28067,nan,,Unassigned
28068,nan,,Unassigned
28069,nan,,Unassigned
28070,nan,,Unassigned
28071,nan,,Unassigned
28072,nan,,Unassigned
28073,nan,,Unassigned
28074,nan,,Unassigned
28075,nan,,Unassigned
28076,nan,,Unassigned
28077,nan,,Unassigned
28078,nan,,Unassigned
28079,nan,,Unassigned
28080,thor-engine,"tcp, udp",thor/server - ML engine
28119,a27-ran-ran,"tcp, udp",A27 cdma2000 RAN Management
28200,voxelstorm,"tcp, udp",VoxelStorm game server
28240,siemensgsm,"tcp, udp",Siemens GSM
28589,bosswave,"tcp, udp",Building operating system services wide area verified exchange
29000,saltd-licensing,"tcp, udp",Siemens Licensing Server
29118,sgsap,"sctp, tcp, udp",SGsAP in 3GPP
29167,otmp,"tcp, udp",ObTools Message Protocol
29168,sbcap,"sctp, tcp, udp",SBcAP in 3GPP
29169,iuhsctpassoc,sctp,HNBAP and RUA Common Association
29999,bingbang,"tcp, udp",data exchange protocol for IEC61850 in wind power plants
30000,ndmps,"tcp, udp",Secure Network Data Management Protocol
30001,pago-services1,"tcp, udp",Pago Services 1
30002,pago-services2,"tcp, udp",Pago Services 2
30003,amicon-fpsu-ra,"tcp, udp",Amicon FPSU-IP Remote Administration
30004,amicon-fpsu-s,"tcp, udp",Amicon FPSU-IP VPN
30100,rwp,"sctp, tcp, udp",Remote Window Protocol
30260,kingdomsonline,"tcp, udp",Kingdoms Online (CraigAvenue)
30400,gs-realtime,"tcp, udp",GroundStar RealTime System
30832,samsung-disc,"tcp, udp",Samsung Convergence Discovery Protocol
30999,ovobs,"tcp, udp",OpenView Service Desk Client
31016,"ka-kdp, ka-sddp","tcp, udp","Kollective Agent Kollective Delivery Protocol, Kollective Agent Secure Distributed Delivery Protocol"
31020,autotrac-acp,"tcp, udp",Autotrac ACP 245
31029,yawn,"tcp, udp",YaWN - Yet Another Windows Notifier
31337,eldim,"tcp, udp",eldim is a secure file upload proxy
31400,pace-licensed,"tcp, udp",PACE license server
31416,xqosd,"tcp, udp",XQoS network monitor
31457,tetrinet,"tcp, udp",TetriNET Protocol
31620,lm-mon,"tcp, udp",lm mon
31685,"dsx-monitor, dsx_monitor","tcp, udp","DS Expert Monitor, DS Expert Monitor
IANA assigned this well-formed service name as a replacement for ""dsx_monitor""."
31765,gamesmith-port,"tcp, udp",GameSmith Port
31948,"iceedcp_tx, iceedcp-tx","tcp, udp","Embedded Device Configuration Protocol TX, Embedded Device Configuration Protocol TX
IANA assigned this well-formed service name as a replacement for ""iceedcp_tx""."
31949,"iceedcp_rx, iceedcp-rx","tcp, udp","Embedded Device Configuration Protocol RX, Embedded Device Configuration Protocol RX
IANA assigned this well-formed service name as a replacement for ""iceedcp_rx""."
32034,iracinghelper,"tcp, udp",iRacing helper service
32249,t1distproc60,"tcp, udp",T1 Distributed Processor
32400,plex,"tcp, udp",Plex multimedia
32483,apm-link,"tcp, udp",Access Point Manager Link
32635,sec-ntb-clnt,"tcp, udp",SecureNotebook-CLNT
32636,DMExpress,"tcp, udp",DMExpress
32767,filenet-powsrm,"tcp, udp",FileNet BPM WS-ReliableMessaging Client
32768,filenet-tms,"tcp, udp",Filenet TMS
32769,filenet-rpc,"tcp, udp",Filenet RPC
32770,filenet-nch,"tcp, udp",Filenet NCH
32771,filenet-rmi,"tcp, udp","FileNET RMI, FileNet RMI"
32772,filenet-pa,"tcp, udp",FileNET Process Analyzer
32773,filenet-cm,"tcp, udp",FileNET Component Manager
32774,filenet-re,"tcp, udp",FileNET Rules Engine
32775,filenet-pch,"tcp, udp",Performance Clearinghouse
32776,filenet-peior,"tcp, udp",FileNET BPM IOR
32777,filenet-obrok,"tcp, udp",FileNet BPM CORBA
32801,mlsn,"tcp, udp",Multiple Listing Service Network
32811,retp,"tcp, udp",Real Estate Transport Protocol
32896,idmgratm,"tcp, udp",Attachmate ID Manager
33000,wg-endpt-comms,"tcp, udp",WatchGuard Endpoint Communications
33060,mysqlx,"tcp, udp",MySQL Database Extended Interface
33123,aurora-balaena,"tcp, udp",Aurora (Balaena Ltd)
33331,diamondport,"tcp, udp",DiamondCentral Interface
33333,dgi-serv,"tcp, udp",Digital Gaslight Service
33334,"speedtrace, speedtrace-disc","tcp, udp","SpeedTrace TraceAgent Discovery, SpeedTrace TraceAgent"
33434,traceroute,"tcp, udp",traceroute use
33435,mtrace,"tcp, udp",IP Multicast Traceroute
33436,nan,,Unassigned
33437,nan,,Unassigned
33438,nan,,Unassigned
33439,nan,,Unassigned
33440,nan,,Unassigned
33441,nan,,Unassigned
33442,nan,,Unassigned
33443,nan,,Unassigned
33444,nan,,Unassigned
33445,nan,,Unassigned
33446,nan,,Unassigned
33447,nan,,Unassigned
33448,nan,,Unassigned
33449,nan,,Unassigned
33450,nan,,Unassigned
33451,nan,,Unassigned
33452,nan,,Unassigned
33453,nan,,Unassigned
33454,nan,,Unassigned
33455,nan,,Unassigned
33456,nan,,Unassigned
33457,nan,,Unassigned
33458,nan,,Unassigned
33459,nan,,Unassigned
33460,nan,,Unassigned
33461,nan,,Unassigned
33462,nan,,Unassigned
33463,nan,,Unassigned
33464,nan,,Unassigned
33465,nan,,Unassigned
33466,nan,,Unassigned
33467,nan,,Unassigned
33468,nan,,Unassigned
33469,nan,,Unassigned
33470,nan,,Unassigned
33471,nan,,Unassigned
33472,nan,,Unassigned
33473,nan,,Unassigned
33474,nan,,Unassigned
33475,nan,,Unassigned
33476,nan,,Unassigned
33477,nan,,Unassigned
33478,nan,,Unassigned
33479,nan,,Unassigned
33480,nan,,Unassigned
33481,nan,,Unassigned
33482,nan,,Unassigned
33483,nan,,Unassigned
33484,nan,,Unassigned
33485,nan,,Unassigned
33486,nan,,Unassigned
33487,nan,,Unassigned
33488,nan,,Unassigned
33489,nan,,Unassigned
33490,nan,,Unassigned
33491,nan,,Unassigned
33492,nan,,Unassigned
33493,nan,,Unassigned
33494,nan,,Unassigned
33495,nan,,Unassigned
33496,nan,,Unassigned
33497,nan,,Unassigned
33498,nan,,Unassigned
33499,nan,,Unassigned
33500,nan,,Unassigned
33501,nan,,Unassigned
33502,nan,,Unassigned
33503,nan,,Unassigned
33504,nan,,Unassigned
33505,nan,,Unassigned
33506,nan,,Unassigned
33507,nan,,Unassigned
33508,nan,,Unassigned
33509,nan,,Unassigned
33510,nan,,Unassigned
33511,nan,,Unassigned
33512,nan,,Unassigned
33513,nan,,Unassigned
33514,nan,,Unassigned
33515,nan,,Unassigned
33516,nan,,Unassigned
33517,nan,,Unassigned
33518,nan,,Unassigned
33519,nan,,Unassigned
33520,nan,,Unassigned
33521,nan,,Unassigned
33522,nan,,Unassigned
33523,nan,,Unassigned
33524,nan,,Unassigned
33525,nan,,Unassigned
33526,nan,,Unassigned
33527,nan,,Unassigned
33528,nan,,Unassigned
33529,nan,,Unassigned
33530,nan,,Unassigned
33531,nan,,Unassigned
33532,nan,,Unassigned
33533,nan,,Unassigned
33534,nan,,Unassigned
33535,nan,,Unassigned
33536,nan,,Unassigned
33537,nan,,Unassigned
33538,nan,,Unassigned
33539,nan,,Unassigned
33540,nan,,Unassigned
33541,nan,,Unassigned
33542,nan,,Unassigned
33543,nan,,Unassigned
33544,nan,,Unassigned
33545,nan,,Unassigned
33546,nan,,Unassigned
33547,nan,,Unassigned
33548,nan,,Unassigned
33549,nan,,Unassigned
33550,nan,,Unassigned
33551,nan,,Unassigned
33552,nan,,Unassigned
33553,nan,,Unassigned
33554,nan,,Unassigned
33555,nan,,Unassigned
33556,nan,,Unassigned
33557,nan,,Unassigned
33558,nan,,Unassigned
33559,nan,,Unassigned
33560,nan,,Unassigned
33561,nan,,Unassigned
33562,nan,,Unassigned
33563,nan,,Unassigned
33564,nan,,Unassigned
33565,nan,,Unassigned
33566,nan,,Unassigned
33567,nan,,Unassigned
33568,nan,,Unassigned
33569,nan,,Unassigned
33570,nan,,Unassigned
33571,nan,,Unassigned
33572,nan,,Unassigned
33573,nan,,Unassigned
33574,nan,,Unassigned
33575,nan,,Unassigned
33576,nan,,Unassigned
33577,nan,,Unassigned
33578,nan,,Unassigned
33579,nan,,Unassigned
33580,nan,,Unassigned
33581,nan,,Unassigned
33582,nan,,Unassigned
33583,nan,,Unassigned
33584,nan,,Unassigned
33585,nan,,Unassigned
33586,nan,,Unassigned
33587,nan,,Unassigned
33588,nan,,Unassigned
33589,nan,,Unassigned
33590,nan,,Unassigned
33591,nan,,Unassigned
33592,nan,,Unassigned
33593,nan,,Unassigned
33594,nan,,Unassigned
33595,nan,,Unassigned
33596,nan,,Unassigned
33597,nan,,Unassigned
33598,nan,,Unassigned
33599,nan,,Unassigned
33600,nan,,Unassigned
33601,nan,,Unassigned
33602,nan,,Unassigned
33603,nan,,Unassigned
33604,nan,,Unassigned
33605,nan,,Unassigned
33606,nan,,Unassigned
33607,nan,,Unassigned
33608,nan,,Unassigned
33609,nan,,Unassigned
33610,nan,,Unassigned
33611,nan,,Unassigned
33612,nan,,Unassigned
33613,nan,,Unassigned
33614,nan,,Unassigned
33615,nan,,Unassigned
33616,nan,,Unassigned
33617,nan,,Unassigned
33618,nan,,Unassigned
33619,nan,,Unassigned
33620,nan,,Unassigned
33621,nan,,Unassigned
33622,nan,,Unassigned
33623,nan,,Unassigned
33624,nan,,Unassigned
33625,nan,,Unassigned
33626,nan,,Unassigned
33627,nan,,Unassigned
33628,nan,,Unassigned
33629,nan,,Unassigned
33630,nan,,Unassigned
33631,nan,,Unassigned
33632,nan,,Unassigned
33633,nan,,Unassigned
33634,nan,,Unassigned
33635,nan,,Unassigned
33636,nan,,Unassigned
33637,nan,,Unassigned
33638,nan,,Unassigned
33639,nan,,Unassigned
33640,nan,,Unassigned
33641,nan,,Unassigned
33642,nan,,Unassigned
33643,nan,,Unassigned
33644,nan,,Unassigned
33645,nan,,Unassigned
33646,nan,,Unassigned
33647,nan,,Unassigned
33648,nan,,Unassigned
33649,nan,,Unassigned
33650,nan,,Unassigned
33651,nan,,Unassigned
33652,nan,,Unassigned
33653,nan,,Unassigned
33654,nan,,Unassigned
33655,nan,,Unassigned
33656,snip-slave,"tcp, udp",SNIP Slave
33890,digilent-adept,"tcp, udp",Adept IP protocol
